Text,NN
Respected,VBN
Prime,NNP
Minister,NNP
Ji,NNP
I,PRP
AM,VBP
THE,DT
ENGINE,NNP
CADET,NNP
IN,NNP
MERCHANT,NNP
NAVY,NNP
AND,NNP
I,PRP
WANT,VBP
YOU,UH
TO,NNP
BRING,VB
YOUR,NNP
KIND,NNP
ATTENTION,NNP
ON,NNP
THE,NNP
MERCHANT,NNP
FIELD,NNP
AS,IN
IT,NNP
IS,VBZ
THE,NNP
LARGEST,NNP
WAY,NNP
OF,IN
TRANSPORTATION,NNP
USED,NNP
BY,NNP
WORLD,NNP
WIDE,NNP
AND,NNP
INDIAN,NNP
IS,NNP
COMING,NNP
ON,NNP
3RD,CD
RANK,NNP
IN,NNP
MARINE,NNP
FIELD,NNP
DUE,NNP
THE,NNP
DISCIPLINE,NNP
AND,NNP
HARD,NNP
WORKING,NNP
CADETS,NNP
OF,NNP
OUR,NNP
COUNTRY,NNP
BUT,NNP
DAY,NNP
BY,NNP
DAY,NNP
OUR,NNP
MARITIME,NNP
TRAINING,NN
STANDARDS,NNP
ARE,NNP
GOING,NNP
DOWN,NNP
THERE,NNP
IS,NNP
DECREASE,NNP
IN,NNP
DEMAND,NNP
OF,NNP
INDIAN,NNP
CADETS.AND,NNP
MANY,NNP
JOURNALS,NNP
ARE,NNP
WRITING,NNP
ABOUT,IN
IT,NNP
ONE,NNP
OF,NNP
THE,NNP
EXAMPLES,NNP
HAS,NNP
BEEN,NNP
ATTACHED,NNP
KINDLY,NNP
LOOK,NNP
Respected,VBN
Prime,NNP
Minister,NNP
Ji,NNP
I,PRP
AM,VBP
THE,DT
ENGINE,NNP
CADET,NNP
IN,NNP
MERCHANT,NNP
NAVY,NNP
AND,NNP
I,PRP
WANT,VBP
YOU,UH
TO,NNP
BRING,VB
YOUR,NNP
KIND,NNP
ATTENTION,NNP
ON,NNP
THE,NNP
MERCHANT,NNP
FIELD,NNP
AS,IN
IT,NNP
IS,VBZ
THE,NNP
LARGEST,NNP
WAY,NNP
OF,IN
TRANSPORTATION,NNP
USED,NNP
BY,NNP
WORLD,NNP
WIDE,NNP
AND,NNP
INDIAN,NNP
IS,NNP
COMING,NNP
ON,NNP
3RD,CD
RANK,NNP
IN,NNP
MARINE,NNP
FIELD,NNP
DUE,NNP
THE,NNP
DISCIPLINE,NNP
AND,NNP
HARD,NNP
WORKING,NNP
CADETS,NNP
OF,NNP
OUR,NNP
COUNTRY,NNP
BUT,NNP
DAY,NNP
BY,NNP
DAY,NNP
OUR,NNP
MARITIME,NNP
TRAINING,NN
STANDARDS,NNP
ARE,NNP
GOING,NNP
DOWN,NNP
THERE,NNP
IS,NNP
DECREASE,NNP
IN,NNP
DEMAND,NNP
OF,NNP
INDIAN,NNP
CADETS.AND,NNP
MANY,NNP
JOURNALS,NNP
ARE,NNP
WRITING,NNP
ABOUT,IN
IT,NNP
ONE,NNP
OF,NNP
THE,NNP
EXAMPLES,NNP
HAS,NNP
BEEN,NNP
ATTACHED,NNP
KINDLY,NNP
LOOK,NNP
Respected,VBN
Prime,NNP
Minister,NNP
Ji,NNP
I,PRP
AM,VBP
THE,DT
ENGINE,NNP
CADET,NNP
IN,NNP
MERCHANT,NNP
NAVY,NNP
AND,NNP
I,PRP
WANT,VBP
YOU,UH
TO,NNP
BRING,VB
YOUR,NNP
KIND,NNP
ATTENTION,NNP
ON,NNP
THE,NNP
MERCHANT,NNP
FIELD,NNP
AS,IN
IT,NNP
IS,VBZ
THE,NNP
LARGEST,NNP
WAY,NNP
OF,IN
TRANSPORTATION,NNP
USED,NNP
BY,NNP
WORLD,NNP
WIDE,NNP
AND,NNP
INDIAN,NNP
IS,NNP
COMING,NNP
ON,NNP
3RD,CD
RANK,NNP
IN,NNP
MARINE,NNP
FIELD,NNP
DUE,NNP
THE,NNP
DISCIPLINE,NNP
AND,NNP
HARD,NNP
WORKING,NNP
CADETS,NNP
OF,NNP
OUR,NNP
COUNTRY,NNP
BUT,NNP
DAY,NNP
BY,NNP
DAY,NNP
OUR,NNP
MARITIME,NNP
TRAINING,NN
STANDARDS,NNP
ARE,NNP
GOING,NNP
DOWN,NNP
THERE,NNP
IS,NNP
DECREASE,NNP
IN,NNP
DEMAND,NNP
OF,NNP
INDIAN,NNP
CADETS.AND,NNP
MANY,NNP
JOURNALS,NNP
ARE,NNP
WRITING,NNP
ABOUT,IN
IT,NNP
ONE,NNP
OF,NNP
THE,NNP
EXAMPLES,NNP
HAS,NNP
BEEN,NNP
ATTACHED,NNP
KINDLY,NNP
LOOK,NNP
Respected,VBN
Prime,NNP
Minister,NNP
Ji,NNP
I,PRP
AM,VBP
THE,DT
ENGINE,NNP
CADET,NNP
IN,NNP
MERCHANT,NNP
NAVY,NNP
AND,NNP
I,PRP
